"Home Team (2023) (901)","Away Team (2023) (901)","Game Time (2023) (901)","Season Type (2023) (901)","Normalized Ranking Delta (Calculated)","Field Goal % Delta (Calculated)","eFG% Delta (Calculated)","Turnover Ratio Delta (Calculated)","PPP Delta (Calculated)","Team (2023) (900)","Field Goal % Home (Calculated)","eFG% Home (Calculated)","Turnover Ratio Home (Calculated)","PPP Home (Calculated)","Team (2023) (904)","Field Goal % Away (Calculated)","eFG % Away (Calculated)","Turnover Ratio Away (Calculated)","PPP Away (Calculated)"
"Golden State Warriors","San Antonio Spurs","Sat, 21 Oct 2023 02:00:00 GMT","Preseason",-0.2055815207542414,0.014098624292928241,0.025020428068072476,-0.00608633089048026,-0.9730378697333287,"Golden State Warriors",0.47644397125365984,0.5570268831514507,0.10615952313369288,0.010041533491718938,"San Antonio Spurs",0.4623453469607316,0.5320064550833782,0.11224585402417314,0.9830794032250477
"Toronto Raptors","Washington Wizards","Fri, 20 Oct 2023 23:30:00 GMT","Preseason",-0.00005075085362826748,0.0010078284412197713,-0.002692688996588921,0.00014601470952768647,-0.0019122454625299934,"Toronto Raptors",0.4711799891245242,0.5352093529091898,0.10414301929625426,0.9974363082839288,"Washington Wizards",0.4701721606833044,0.5379020419057787,0.10399700458672657,0.9993485537464588
"Philadelphia 76ers","Atlanta Hawks","Fri, 20 Oct 2023 23:00:00 GMT","Preseason",0.11882285521110325,-0.000817363773019053,-0.006950485934572148,-0.009622323087041681,0.07056383592975998,"Philadelphia 76ers",0.4643295594052653,0.5319874505524486,0.08884615384615385,0.08280291149972106,"Atlanta Hawks",0.4651469231782844,0.5389379364870207,0.09846847693319553,0.012239075569961087
"Indiana Pacers","Cleveland Cavaliers","Fri, 20 Oct 2023 23:00:00 GMT","Preseason",0.13592768387393228,0.02744908782139549,0.02148821712691118,-0.010302376825350026,0.0377865083094128,"Indiana Pacers",0.5073035925779708,0.5784971706803527,0.09162947445122506,0.15888470427116325,"Cleveland Cavaliers",0.47985450475657526,0.5570089535534415,0.10193185127657509,0.12109819596175045
"Denver Nuggets","Los Angeles Lakers","Tue, 24 Oct 2023 23:30:00 GMT","Regular Season",0.11852610642357153,-0.002937927297460674,-0.004648907158434357,-0.00901975623767605,0.0666196518424946,"Denver Nuggets",0.4959472455007556,0.5617529880478087,0.09261564984196916,0.13679493702523454,"Los Angeles Lakers",0.49888517279821626,0.5664018952062431,0.1016354060796452,0.07017528518273994
"Golden State Warriors","Phoenix Suns","Wed, 25 Oct 2023 02:00:00 GMT","Regular Season",0.08666729872569434,-0.01654767535542978,-0.008172040818533732,-0.005369661622698821,-0.023506625773752943,"Golden State Warriors",0.47644397125365984,0.5570268831514507,0.10615952313369288,0.010041533491718938,"Phoenix Suns",0.4929916466090896,0.5651989239699844,0.1115291847563917,0.03354815926547188
"Toronto Raptors","Minnesota Timberwolves","Wed, 25 Oct 2023 23:30:00 GMT","Regular Season",0.28811054317553886,-0.013907478612785795,-0.02422569154162757,-0.0024885904028401074,0.8776157917743251,"Toronto Raptors",0.4711799891245242,0.5352093529091898,0.10414301929625426,0.9974363082839288,"Minnesota Timberwolves",0.48508746773731,0.5594350444508174,0.10663160969909437,0.11982051650960364
"Los Angeles Clippers","Portland Trail Blazers","Thu, 26 Oct 2023 02:30:00 GMT","Regular Season",-0.12355992700448382,0.04991488425452045,0.05896506873062024,-0.021133009904992936,-0.8826939282991508,"Los Angeles Clippers",0.48860438942037143,0.5614800225098481,0.09833333333333333,0.05746042861888473,"Portland Trail Blazers",0.438689505165851,0.5025149537792278,0.11946634323832626,0.9401543569180355
"Chicago Bulls","Oklahoma City Thunder","Thu, 26 Oct 2023 00:00:00 GMT","Regular Season",0.015727240452225066,-0.028952386898689397,-0.03925572432026925,0.0021481721506924206,-0.0920545591225103,"Chicago Bulls",0.4698187764000545,0.5339283281100967,0.09379594236989121,0.024509695682319015,"Oklahoma City Thunder",0.4987711632987439,0.573184052430366,0.09164777021919879,0.11656425480482932
"San Antonio Spurs","Dallas Mavericks","Thu, 26 Oct 2023 01:30:00 GMT","Regular Season",0.22780040911402877,-0.01868280481405421,-0.030417045528616904,0.017665417792151042,0.8545118446323218,"San Antonio Spurs",0.4623453469607316,0.5320064550833782,0.11224585402417314,0.9830794032250477,"Dallas Mavericks",0.4810281517747858,0.5624235006119951,0.0945804362320221,0.12856755859272595
"Orlando Magic","Houston Rockets","Wed, 25 Oct 2023 23:00:00 GMT","Regular Season",-0.2596204873907034,0.01754061418671954,0.012873710575944997,0.015745923811840534,-0.9409173277298056,"Orlando Magic",0.47671744754239725,0.541966082207531,0.11135241855873643,0.06681777821405784,"Houston Rockets",0.4591768333556777,0.529092371631586,0.09560649474689589,1.0077351059438635
"Utah Jazz","Sacramento Kings","Thu, 26 Oct 2023 01:00:00 GMT","Regular Season",0.2761313049302774,-0.009492090243263973,-0.01659606260545221,0.020400683779538825,0.9840157557934986,"Utah Jazz",0.46710080043413377,0.5390042056708724,0.11746699827817103,1.0074014904953306,"Sacramento Kings",0.47659289067739774,0.5556002682763246,0.0970663144986322,0.023385734701831883
"Miami Heat","Detroit Pistons","Wed, 25 Oct 2023 23:30:00 GMT","Regular Season",-0.16659342127866206,0.0021492470366570315,0.012360184115201567,-0.021649902895069406,-0.8995354157806477,"Miami Heat",0.4651096553688408,0.5378809455995442,0.09520534486146591,0.0770575621127203,"Detroit Pistons",0.46296040833218377,0.5255207614843427,0.11685524775653532,0.976592977893368
"Indiana Pacers","Washington Wizards","Wed, 25 Oct 2023 23:00:00 GMT","Regular Season",-0.14244388787215245,0.037131431894666334,0.04059512877457394,-0.012367530135501514,-0.8404638494752956,"Indiana Pacers",0.5073035925779708,0.5784971706803527,0.09162947445122506,0.15888470427116325,"Washington Wizards",0.4701721606833044,0.5379020419057787,0.10399700458672657,0.9993485537464588
"Charlotte Hornets","Atlanta Hawks","Wed, 25 Oct 2023 23:00:00 GMT","Regular Season",0.293689810980457,-0.005172158002341554,-0.009637501887273081,0.008966204797864696,0.9631334727417248,"Charlotte Hornets",0.4599747651759428,0.5293004345997476,0.10743468173106023,0.9753725483116858,"Atlanta Hawks",0.4651469231782844,0.5389379364870207,0.09846847693319553,0.012239075569961087
"New York Knicks","Boston Celtics","Wed, 25 Oct 2023 23:00:00 GMT","Regular Season",0.031174268586448117,-0.020980408051294697,-0.03778538918249297,0.011480695577413741,0.03834743164973871,"New York Knicks",0.4659043945447031,0.5404325664692107,0.10048946159224853,0.1578245176909246,"Boston Celtics",0.4868848025959978,0.5782179556517036,0.08900876601483479,0.11947708604118588
"Brooklyn Nets","Cleveland Cavaliers","Wed, 25 Oct 2023 23:30:00 GMT","Regular Season",0.28104342355460354,-0.024263975127452486,-0.02655870037156105,-0.0033251008841104074,0.8783021197543872,"Brooklyn Nets",0.4555905296291228,0.5304502531818804,0.09860675039246468,0.9994003157161376,"Cleveland Cavaliers",0.47985450475657526,0.5570089535534415,0.10193185127657509,0.12109819596175045
"Memphis Grizzlies","New Orleans Pelicans","Thu, 26 Oct 2023 00:00:00 GMT","Regular Season",0.21872128848158556,-0.051259532516970574,-0.048581837520836224,0.017740850858717724,0.8847525230980994,"Memphis Grizzlies",0.43499308437067774,0.5090594744121715,0.11566312865787125,0.9479247690546315,"New Orleans Pelicans",0.4862526168876483,0.5576413119330077,0.09792227779915352,0.06317224595653216
"Milwaukee Bucks","Philadelphia 76ers","Thu, 26 Oct 2023 23:30:00 GMT","Regular Season",0.07007998294064854,0.02313255136905268,0.03559315016400222,0.006710238546992445,-0.010447021226717146,"Milwaukee Bucks",0.487462110774318,0.5675806007164508,0.0955563923931463,0.07235589027300392,"Philadelphia 76ers",0.4643295594052653,0.5319874505524486,0.08884615384615385,0.08280291149972106
"Los Angeles Lakers","Phoenix Suns","Fri, 27 Oct 2023 02:00:00 GMT","Regular Season",0.12600925914061645,0.005893526189126641,0.0012029712362586764,-0.009893778676746498,0.03662712591726806,"Los Angeles Lakers",0.49888517279821626,0.5664018952062431,0.1016354060796452,0.07017528518273994,"Phoenix Suns",0.4929916466090896,0.5651989239699844,0.1115291847563917,0.03354815926547188
"Cleveland Cavaliers","Oklahoma City Thunder","Fri, 27 Oct 2023 23:30:00 GMT","Regular Season",0.03570777117845336,-0.01891665854216862,-0.016175098876924476,0.010284081057376299,0.0045339411569211285,"Cleveland Cavaliers",0.47985450475657526,0.5570089535534415,0.10193185127657509,0.12109819596175045,"Oklahoma City Thunder",0.4987711632987439,0.573184052430366,0.09164777021919879,0.11656425480482932
"San Antonio Spurs","Houston Rockets","Sat, 28 Oct 2023 00:00:00 GMT","Regular Season",-0.045287727156375635,0.00316851360505388,0.0029140834517922265,0.01663935927727725,-0.024655702718815786,"San Antonio Spurs",0.4623453469607316,0.5320064550833782,0.11224585402417314,0.9830794032250477,"Houston Rockets",0.4591768333556777,0.529092371631586,0.09560649474689589,1.0077351059438635
"Memphis Grizzlies","Denver Nuggets","Fri, 27 Oct 2023 23:00:00 GMT","Regular Season",0.1706698578537359,-0.060954161130077844,-0.052693513635637235,0.023047478815902092,0.8111298320293969,"Memphis Grizzlies",0.43499308437067774,0.5090594744121715,0.11566312865787125,0.9479247690546315,"Denver Nuggets",0.4959472455007556,0.5617529880478087,0.09261564984196916,0.13679493702523454
"Dallas Mavericks","Brooklyn Nets","Sat, 28 Oct 2023 00:30:00 GMT","Regular Season",-0.18342586308849418,0.02543762214566303,0.03197324743011465,-0.004026314160442579,-0.8708327571234117,"Dallas Mavericks",0.4810281517747858,0.5624235006119951,0.0945804362320221,0.12856755859272595,"Brooklyn Nets",0.4555905296291228,0.5304502531818804,0.09860675039246468,0.9994003157161376
"Boston Celtics","Miami Heat","Fri, 27 Oct 2023 23:30:00 GMT","Regular Season",0.1268339759963919,0.02177514722715701,0.040337010052159394,-0.006196578846631121,0.04241952392846558,"Boston Celtics",0.4868848025959978,0.5782179556517036,0.08900876601483479,0.11947708604118588,"Miami Heat",0.4651096553688408,0.5378809455995442,0.09520534486146591,0.0770575621127203
"Sacramento Kings","Golden State Warriors","Sat, 28 Oct 2023 02:00:00 GMT","Regular Season",0.11425226120059118,0.00014891942373790323,-0.0014266148751260754,-0.009093208635060676,0.013344201210112944,"Sacramento Kings",0.47659289067739774,0.5556002682763246,0.0970663144986322,0.023385734701831883,"Golden State Warriors",0.47644397125365984,0.5570268831514507,0.10615952313369288,0.010041533491718938
